 Ultrasonic sensor Reading (in cm)  				Actual Distance ( in cm)
	           
			           5.4							6.0
			           6.2							7.1
			           6.6							7.2
			           7.5							8.5
			           8.5							9.7
			           10							11.3
			           13							14.7
			           15							17.1
			           20							24.6
